ACCE_ABSORB_COST	Ћгд «б«” нЏ«»: %d
MAP_SUNGZI_FLAME_HILL_03	гЏ—я… «б≈г»—«Ўж—н…-√—÷ «бд«—
MAP_SUNGZI_SNOW	гЏ—я… «б≈г»—«Ўж—н…-«б√—÷ «бћбнѕн…
MAP_SUNGZI_SNOW_PASS01	гЏ—я… «б≈г»—«Ўж—н…-«б√—÷ «бћбнѕн…
MAP_SUNGZI_SNOW_PASS02	гЏ—я… «б≈г»—«Ўж—н…-«б√—÷ «бћбнѕн…
MAP_SUNGZI_SNOW_PASS03	гЏ—я… «б≈г»—«Ўж—н…-«б√—÷ «бћбнѕн…
MAP_T1	гдЎё… Ќ—» «б—«»Ў…
MAP_T2	гдЎё… Ќ—» «б—«»Ў…
MAP_T3	гдЎё… Ќ—» «б—«»Ў…
MAP_T4	гдЎё… Ќ—» «б—«»Ў…
MAP_TEMPLE	гЏ»ѕ еж«дџ
MAP_THUNDER	ћ»«б «б—Џѕ
MAP_TREE	бдџ”«г
MAP_TRENT	џ«»… «б√‘»«Ќ
MAP_TRENT02	«бџ«»… «бЌг—«Ѕ
MAP_TRENT02_A	«бџ«»… «бЌг—«Ѕ
MAP_TRENT_A	
MAP_WEDDING_01	ќ—нЎ… «б“ж«ћ
MAP_WL	гнѕ«д «б√Ё«Џн
MAP_WL_01	гнѕ«д «б√Ё«Џн
MC_ACCUMULATION_COUNT	Џѕѕ »Ў«ё«  «бжЌж‘ «б н  г ћгЏе«: %d
MC_ALTER_TEXT	«бгег… %d
MC_CARD_FALL_SHORT	Џѕѕ «б»Ў«ё«  «бг”ћб… џн— я«Ён.
MC_CARD_SHUFFLE	еб  —нѕ ≈Џ«ѕ… ќбЎ «б»Ў«ё«  гд ћѕнѕњ
MC_INIT_ITEM_FALL_SHORT	√д  »Ќ«ћ… ≈бм %d »Ў«ё…(« ) «б»ѕ«н«  «бћѕнѕ….
MC_MISSION_FAIL_MSG	б«  жћѕ гег… д‘Ў… √ж  г  ќЎн «бЌѕ «бг”гжЌ.
MC_MISSION_INIT	еб  —нѕ «” Џ«ѕ… гег… «бг” жм 1њ
MC_MISSION_NO_CLEAR	Џбня √жбр« ≈дћ«“ «бгег….
MC_MOTION_BUTTON_OVER_MSG	е–« «бќн«— г «Ќ «» ѕ«Ѕр гд «бдћг… 2.
MC_POLY_BUTTON_OVER_MSG	е–« «бќн«— г «Ќ «» ѕ«Ѕр гд «бдћг… 3.
MC_POLY_FAIL	б« нгядя «б Ќжб «б¬д.
MC_POLY_QUESTION	еб  —нѕ  Ќжнб дЁ”я ≈бм е–« «бжЌ‘њ
MC_PROMOTION_MAX	«б Ќ”нд бг нЏѕ г «Ќр«
MC_PROMOTION_QUESTION	еб  —нѕ “н«ѕ… «бг” жмњ
MC_QUESTION_BUTTON_DESC1	«б«” Џ«ѕ… г «Ќ… ЁёЎ 6 г—«  ќб«б яб 24 ”«Џ….
MC_QUESTION_BUTTON_DESC2	  Ўб» яб «” Џ«ѕ… ћѕнѕ… »Џѕ –бя ≈бм «бг“нѕ гд »Ў«ё«  «б»ѕ«н«  «бћѕнѕ….
MC_QUESTION_BUTTON_DESC3	«дё— ед« бЏ—÷ «бг »ё гд “гд «б«” —«Ќ… «б≈ћ»«—н….
MC_REWARD_FAIL	б« нжћѕ гя«д я«Ён Ён ё«∆г… «бћ—ѕ.
MC_REWARD_MISSION	еб  —нѕ «бЌ’жб Џбм »Ў«ё… «бжЌж‘ «бќ«’… »я «б¬дњ
MC_SHUFFLE_NO_ITEM	√д  б«  гбя »Ў«ё… ќбЎ «бгег… гд «бћѕнѕ.
MC_TIME	«” —«Ќ… ≈ћ»«—н…: %s
MC_TRADE_QUESTION	”н г ќ’г %d »Ў«ё«  гдя. еб  —џ» Ён «бг «»Џ…њ
MC_USE_ITEM_FAIL	б« нгяд ≈÷«Ё… е–е «б»Ў«ё….
MC_USE_ITEM_QUESTION	еб  —нѕ ≈÷«Ё… »Ў«ё… «бжЌж‘ е–ењ
MC_WARP_BUTTON_OVER_MSG	е–« «бќн«— г «Ќ «» ѕ«Ѕр гд «бдћг… 4.
MC_WARP_FAIL	бг нЏѕ »≈гя«дя √д  дёб дЁ”я.
MC_WARP_LIMIT_LEVEL	б« н“«б г” ж«я ÷ЏнЁр« бян  дёб дЁ”я.
MC_WARP_QUESTION	еб  —нѕ √д  д ёб ≈бм гдЎё… е–« «бжЌ‘њ
MD_POPUP_MSG_1	нгядя «бѕќжб гд ќб«б гЏ»ѕ “жѕн«я ЁёЎ.
MD_POPUP_MSG_2	≈д Ќ—«” гЏ»ѕ “жѕн«я »Ќ«ћ… б≈Џ«ѕ… »д«Ѕ ёж ег.\n≈гдЌег »Џ÷ «бжё .
MD_SYSTEM_MSG_1	√д  б”  “жг»н. б« нгядя «бё «б ж√д  гн .
MEDAL_OF_HONOR	гнѕ«бн… «б‘—Ё
MEDAL_OF_HONOR_SYSTEM_PICK	√Ќ’б Џбм »дѕ: гнѕ«бн… «б‘—Ё x %d
MESSENGER_ADD_BLOCK_FRIEND	≈÷«Ё…
MESSENGER_ADD_FRIEND	≈÷«Ё… ’ѕнё
MESSENGER_BLOCK	 г «бЌў—
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	бёѕ « ќ–я %s ’ѕнё«р бе.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	гж«Ёёњ
MESSENGER_DO_YOU_DELETE	еб  —нѕ Ќ–Ёењ
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	еб  —џ» Ќ–Ё —ёг «бе« Ё «бгЌгжбњ
MESSENGER_DO_YOU_MOVE	еб  —нѕ «б«” г—«—њ
MESSENGER_EMPTY_LIST	Ё«—џ
MESSENGER_FAMILY	Џ«∆б…
MESSENGER_FRIEND	√’ѕё«Ѕ
MESSENGER_GUILD	—«»Ў…
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	√ѕќб —ёг «б‘Ё—… «б–н  ж’б  »е« Џбм е« Ёя «бгЌгжб.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	√ѕќб —ёг «б‘Ё—…
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	«б—ћ«Ѕ ≈ѕќ«б —ёг е« Ёя «бгЌгжб б≈—”«б «б—”«∆б «бё’н—….
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	еб  —џ» Ён ≈ѕќ«б «б—ёг «б¬дњ
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	√ѕќб —ёг «бе« Ё «бгЌгжб
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	≈—”«б «б—”«б…
METIN_TEST	
MINIGAMEUI_CALENDAR	 ёжнг «б«Ќ Ё«бн« 
MINIGAME_FISH_EVENT_ADD_ACCEPT	еб  —џ» »≈÷«Ё… е–« «б‘нЅњ
MINIGAME_FISH_EVENT_DROP_ACCEPT	еб  —нѕ ≈”ё«Ў е–« «б»дѕњ
MINIGAME_FISH_EVENT_REWARD_MSG	бёѕ Ќ’б  Џбм %s.
MINIGAME_FISH_EVENT_USE_ACCEPT	еб  —нѕ ≈” ќѕ«г е–« «б»дѕњ
MINIMAP	Ё Ќ «бќ—нЎ… «б’џн—…
MINIMAP_CANNOT_SEE	б« нгяд ≈ўе«— «бќ—нЎ… «б’џн—….
MINIMAP_CAN_NOT_SHOW_AREAMAP	б« нгяд Џ—÷ «бќ—нЎ… «бя»н—….
MINIMAP_DEC_SCALE	 ’џн—
MINIMAP_INC_SCALE	 я»н—
MINIMAP_OBSERVER_COUNT	гх‘«еѕ %d
MINIMAP_OPEN_INGAMEEVENT	«Ќ Ё«бн« 
MINIMAP_SHOW_AREAMAP	Ё Ќ «бќ—нЎ… «бя»н—…
MINI_GAME_BNW_DONATE_QUESTION1	еб  —нѕ «б »—Џњ
MINI_GAME_BNW_DONATE_QUESTION2	«б »—Џ «бж«Ќѕ ”н” ебя 15 Џгб… гЏѕдн….
MINI_GAME_BNW_FONT	Arial:15
MINI_GAME_BNW_GAME_GIVEUP_MSG1	еб √д  г √яѕ гд √дя  —нѕ ≈бџ«Ѕ «ббЏ»…њ
MINI_GAME_BNW_GAME_GIVEUP_MSG2	 –я— √дя ” Ќ’б Џбм гя«Ё¬  Џдѕ «бЁж“.
MINI_GAME_BNW_GAME_RESULT_DRAW	 Џ«ѕб! бёѕ Ќ’б  Џбм %d Џгб… «бЏ—«Ё.
MINI_GAME_BNW_GAME_RESULT_LOSE	е“нг…! бёѕ Ќ’б  Џбм %d Џгб… «бЏ—«Ё.
MINI_GAME_BNW_GAME_RESULT_SCORE	«бд нћ… «бде«∆н…: %d
MINI_GAME_BNW_GAME_RESULT_WIN	≈д ’«—! бёѕ Ќ’б  Џбм %d Џгб… «бЏ—«Ё.
MINI_GAME_BNW_NOT_ENOUGH_INVEN	б« нжћѕ гя«д я«Ён Ён ё«∆г… «бћ—ѕ.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	√д  »Ќ«ћ… ≈бм Ўёг ж—ё  «—ж  б бЏ».
MINI_GAME_BNW_NOT_ENOUGH_YANG	бн” бѕня н«дџ я«Ён б »ѕ√ «ббЏ»….
MINI_GAME_BNW_RESULT_DRAW1	—ёгя г ‘«»е.
MINI_GAME_BNW_RESULT_DRAW2	 Џ«ѕб!
MINI_GAME_BNW_RESULT_LOSE1	—ёгя √’џ—.
MINI_GAME_BNW_RESULT_LOSE2	е“нг…!
MINI_GAME_BNW_RESULT_WIN1	—ёгя √я»—.
MINI_GAME_BNW_RESULT_WIN2	≈д ’«—!
MINI_GAME_BNW_START_QUESTION	√д  »Ќ«ћ… ≈бм 30000 н«дџ жЎёг ж—ё  «—ж  б бЏ». еб  —џ» Ён «бг‘«—я… Ён «бг”«»ё…њ
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	≈–« ёг  »«” ќѕ«г √яЋ— гд %s ” Ќ’б Џбм дЁ” «бЏѕѕ гд «б’д«ѕнё яћж«∆“.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	«бЌѕ «б√ё’м еж %d √Ўёг бЏ» гбян….
MINI_GAME_CATCHKING_HELP_MSG1	н« бб√”Ё! ёнг… »Ў«ё я √ёб. бд  Ќ’б Џбм √н дё«Ў.\n нгядя «бг «»Џ… »»Ў«ё… √ќ—м гд Ўёг √ж—«ёя.
MINI_GAME_CATCHKING_HELP_MSG2	√Ќ”д ! «б»Ў«ё «д г ”«жн «д. бёѕ ≈д е  ћжб я.\n нгядя «бг «»Џ… »»Ў«ё… √ќ—м гд Ўёг √ж—«ёя.
MINI_GAME_CATCHKING_HELP_MSG3	«” г—! ёнг… »Ў«ё я √Џбм. \nёг »«бя‘Ё Џд »Ў«ё… √ќ—м.
MINI_GAME_CATCHKING_HELP_MSG4	нжћѕ [5] Ён гѕм «б»Ў«ё… «бгёбж»…. бб√”Ё бд  Ќ’б Џбм √н дё«Ў.\n ≈ќ — «бгбя [K] «б¬д.
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	бёѕ  гяд «бгбя гд «бЁ—«—! бёѕ ≈д е  «ббЏ»…. Ён Ќ«б Ќ’жбя\n Џбм 10 дё«Ў Џбм «б√ёб нгядя «б¬д ≈” »ѕ«бе« »ћж«∆“.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	б« нгядя «бЌ’жб Џбм √н ћж«∆“.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	нжћѕ [5] Ён «бгѕм «бё—н».
MINI_GAME_CATCHKING_START_QUESTION	нћ» Џбня ѕЁЏ «б «бн ббЏ»: %d н«дџ ж%s:%d ёЎЏ…\nеб  —нѕ «ббЏ» «б¬дњ
MINI_GAME_CATCHKING_TOOLTIP_CARD1	нгяде« «Ќ ћ«“ «б»Ў«ё… «б «бн…: 1
MINI_GAME_CATCHKING_TOOLTIP_CARD2	нгяде« «Ќ ћ«“ «б»Ў«ё«  «б «бн…: 1° 2
MINI_GAME_CATCHKING_TOOLTIP_CARD3	нгяде« «Ќ ћ«“ «б»Ў«ё«  «б «бн…: 1° 2° 3
MINI_GAME_CATCHKING_TOOLTIP_CARD4	нгяде« «Ќ ћ«“ «б»Ў«ё«  «б «бн…: 1° 2° 3° 4
MINI_GAME_CATCHKING_TOOLTIP_CARD5	нгяде« «Ќ ћ«“ «б»Ў«ё«  «б «бн…: 1° 2° 3° 4° 5\nЁн Ќ«б жћжѕ [5] √ќ—м Ён «бгѕм «бё—н» бб»Ў«ё… «б н  ёжг »я‘Ёе«°\n” д ен «бћжб… «бќ«’… »я жбд  Ќ’б Џбм √н дё«Ў.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	нгяде« «Ќ ћ«“ «б»Ў«ё… «б «бн…: K
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 дёЎ… √ж √яЋ—
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 - 549 дёЎ…
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 - 399 дёЎ…
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	” Ќ’б Џбм 10 дё«Ў ≈÷«Ён… Џдѕ я‘Ёя Џд ћгнЏ «б»Ў«ё«  Ён дЁ” «бћжб….
MINI_GAME_GIVEUP_QUESTION	еб √д  г √яѕ гд √дя  —нѕ ≈бџ«Ѕ «ббЏ»…њ ”  ќбм Џд гя«Ё∆ я.
MINI_GAME_NOTICE_1	√дё— "—гн" бгЏ—Ё… «бб«Џ» «б–н ”н»ѕ√.
MINI_GAME_NOTICE_10	е«! бёѕ  џб»  Џбм «бЌ«”ж».
MINI_GAME_NOTICE_11	н« б”жЅ «бЌў! бёѕ  џб» Џбня «бЌ«”ж».
MINI_GAME_NOTICE_12	бёѕ Ќ’б  Џбм нж  √ж гж жнгядя «б—гн гд ћѕнѕ.
MINI_GAME_NOTICE_13	бёѕ ≈д е  «ббЏ»… √Ќ’б Џбм гя«Ё∆ я.
MINI_GAME_NOTICE_2	—гн Џ’н нж .
MINI_GAME_NOTICE_3	бёѕ ё«г «бЌ«”ж» »—гн Џ’н нж  бгЏ—Ё… «бб«Џ» «б–н ”н»ѕ√.
MINI_GAME_NOTICE_4	бёѕ Ќ’б «бЌ«”ж» Џбм «б—ёг «б√ёб жеж гд ”н»ѕ√.
MINI_GAME_NOTICE_5	»ёѕ Ќ’б  Џбм «б—ёг «б√ёб ж√д  гд ”н»ѕ√.
MINI_GAME_NOTICE_6	—гн я: %s.  Ќ—я %d ќ«д…/ќ«д«  ≈бм «б√г«г.
MINI_GAME_NOTICE_7	—гн я: %s. Џбня «бЏжѕ… ќ«д… ж«Ќѕ….
MINI_GAME_NOTICE_8	—гн…: %s
MINI_GAME_NOTICE_9	б«Џ» «бЌ«”ж» н Ќ—я «б¬д.
MINI_GAME_RUMI_DISCARD_QUESTION	еб  —нѕ Ќёш« Ќ–Ё е–е «бж—ё…њ
MINI_GAME_RUMI_EXIT_QUESTION	еб  —џ» Ён ≈де«Ѕ ћжб я ж«бЌ’жб Џбм ћ«∆“ яњ\n”н г »–бя  ’Ён— дё«Ўя жг« ≈бџ«Ѕ г«  »ём гд ж—ёя!
MINI_GAME_RUMI_START_QUESTION	Џбня ббг‘«—я… Ён «ббЏ» ѕЁЏ —”жг »ёнг… %d н«дџ. яг« √дя ” Ќ «ћ б№ %d Ўёг/Ўёжг ж—ё.\nеб  —нѕ »ѕ√ «ббЏ»њ
MINI_GAME_YUTNORI_COM_WIN	г—ш… нде“г Ёне« «бг—Ѕ жг—ш… нЁж“ «б¬ќ—жд.
MINI_GAME_YUTNORI_PC_WIN	ж≈бм «бгд ’—  –е» «бџд«∆г.
MINI_GAME_YUTNORI_PC_WIN_SCORE	«бд нћ…: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	—гн
MINI_GAME_YUTNORI_RETHROW_POPUP	гЌўжў! ≈де ѕж—я гћѕѕ«.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	б »ѕ√ нж дж—н°  Ќ «ћ ≈бм %d н«дџ ж≈бм %d бжЌ… бЏ» нж дж—н. \n «бЏ» «б¬дњ
MINUTE	ѕ
MISTS_ISLAND_BUFF_MSG_01	Ў«ё… +2
MISTS_ISLAND_BUFF_MSG_02	гЏѕб ≈”ё«Ў «б»джѕ +10%
MISTS_ISLAND_BUFF_MSG_03	ёж…° –я«Ѕ° Ќнжн…° гд«ж—… +3
MISTS_ISLAND_BUFF_MSG_04	гЏѕб ≈”ё«Ў «бн«дџ +10%
MISTS_ISLAND_BUFF_MSG_05	“н«ѕ… Џб«ж«  «б√“н«Ѕ »д”»… 3%
MISTS_ISLAND_INFO_01	г” ж«я г« “«б ÷ЏнЁр«.
MISTS_ISLAND_INFO_02	бн” бѕня н«дџ я«Ёт.
MISTS_ISLAND_INFO_03	б«  жћѕ гЏ—я… Ќ«бн….
MISTS_ISLAND_MSG_01	бёѕ  г  ѕгн— %s »ж«”Ў… %s!
MISTS_ISLAND_MSG_02	ё«г %s »џ“ж %s!
MISTS_ISLAND_MSG_03	бёѕ ё«г %s »≈Ќ б«б %s!
MISTS_ISLAND_MSG_04	бёѕ Ќ’б %s Џбм %s!
MISTS_ISLAND_MSG_05	бёѕ ё«г %s » Ўжн— %s ≈бм «бг” жм %d »дћ«Ќ!
MISTS_ISLAND_MSG_06	бёѕ ўе— %s Ён ”«Ќ… «бгЏ—я…!
MISTS_ISLAND_QUESTION_01	еб  —нѕ √д  џ«ѕ— гЏ—я… «б√÷—Ќ… «бќг”…њ
MISTS_ISLAND_QUESTION_02	еб  —џ» »«б≈д ё«б Ёж—« ≈бм «б÷—нЌ «б–н  Џ—÷ ббећжг гƒќ—р«њ \n «б”Џ—: %s н«дџ
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	≈Ќ б«б «б≈г»—«Ўж—н…: %s
MISTS_ISLAND_TOOLTIP_03	г” жм «б Ќ”нд: +%d
MISTS_ISLAND_TOOLTIP_04	Џб«ж… «б≈Ќ б«б: %s
MISTS_ISLAND_TOOLTIP_05	џ“ж «б√÷—Ќ…
MISTS_ISLAND_TOOLTIP_06	1. бб”нЎ—… Џбм ÷—нЌ° нћ» √жб« √д н г  ѕгн—е.
MISTS_ISLAND_TOOLTIP_07	2. «бггбя… «б н бѕне« √я»— Џѕѕ гд «бгё« бнд Ён гя«д ё—н» »Џѕ ѕёнё… ж«Ќѕ…° ” Ќ б «б÷—нЌ.
MISTS_ISLAND_TOOLTIP_08	3. »Џѕ 3 ѕё«∆ё° нўе— «б÷—нЌ »бжд «б≈г»—«Ўж—н… «б н ё«г  »џ“же.
MISTS_ISLAND_TOOLTIP_09	4. ябг« “«ѕ  гѕ… ”нЎ—  «б≈г»—«Ўж—н… дЁ”е« Џбм «б÷—нЌ° ябг« я«д гд «б’Џ» Џбм «б÷—нЌ  ѕгн— дЁ”е.
MONETARY_UNIT0	н«дџ
MONETARY_UNIT1	Џ‘—… √бЁ
MONETARY_UNIT2	г∆… гбнжд
MONEY_INPUT_DIALOG_SELLPRICE	”Џ— «б»нЏ:
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	≈бџ«Ѕ
MOVE_CHANNEL_NOTICE	√д  г ’бр« »«бёд«… %d.
MOVE_CHANNEL_NOT_MOVE	б« нгядя  џнн— ёд« я.
MOVE_CHANNEL_SELECT	гж«Ёё
MOVE_CHANNEL_TITLE	«ќ н«— «бёд«…
MOVE_ITEM_FAILURE_PRIVATE_SHOP	б« нгядя  џнн— гя«д √н ‘нЅ° Ў«бг« √дя  гбя г ћ—«р ‘ќ’н«р.
MUSIC_EMPTY_MUSIC_LIST	»ѕжд гж”нём г—«Ёё….
MUSIC_METIN2_DEFAULT_THEMA	гж”нём Metin2
MUSIC_NOT_SELECT_MUSIC	бг н г «ќ н«— гбЁ гж”нён.
NEEFD_REST	Џбня √жб«р «б«” —«Ќ….
NOT_YET_SUPPORT	б« н г ѕЏге.
OPEN_THE_SPECIAL_ACTION_KIT	 г ≈÷«Ё… %s ≈бм «бЏ«ЎЁ….
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	б« нгядя  ЁЏнб ќѕг… «б—«»Ў… ≈–« бг  яхд Џ÷ж«р Ёне«.
OPTION_PVPMODE_NOT_SUPPORT	б« нгядя «” Џг«б ќн«— б«Џ» ÷ѕ б«Џ».
OPTION_PVPMODE_PROTECT	нћ» √д н’б г” ж«я %d я√ѕдм Ќѕ бян   гяд гд  џнн— дў«г б«Џ» ÷ѕ б«Џ».
PARTY_ANSWER_TIMEOVER	—хЁ÷  «бѕшЏж….
PARTY_BONUS_ATTACKER	ёнг… «бећжг: +%d	SA
PARTY_BONUS_BERSERKER	”—Џ… «бећжг: +%d	SA
PARTY_BONUS_BUFFER	гѕ… «бге«—…: +%d	SA
PARTY_BONUS_DEFENDER	«бѕЁ«Џ: +%d	SA
PARTY_BONUS_EXP	дё«Ў ≈÷«Ён… Ён «бќ»—…: %d%%	SA
PARTY_BONUS_SKILL_MASTER	√ё’м Ќѕ гд дё«Ў «б√”бж»: +%d	SA
PARTY_BONUS_TANKER	дё«Ў Ќн«… ё’жм:+%d	SA
PARTY_BREAK_UP	Ќ–Ё «бгћгжЏ…
PARTY_DO_YOU_ACCEPT	 н—џ» Ён «б«д÷г«г ≈бм «бгћгжЏ….
PARTY_DO_YOU_JOIN	° нѕЏжя бб«д÷г«г ≈бм «бгћгжЏ…. еб  —нѕ ё»жб «бѕЏж…њ
PARTY_EXP_DISTRIBUTION_MODE	 ё”нг дё«Ў «бќ»—…
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Ќ”» «бг” жм
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	”нЌ’б √Џ÷«Ѕ «бгћгжЏ… –жн «бг” жн«  «бг— ЁЏ… Џбм дё«Ў ќ»—… ≈÷«Ён….
PARTY_EXP_DISTRIBUTION_MODE_PARITY	гх ”«ж
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	нд«б ћгнЏ √Џ÷«Ѕ «бгћгжЏ… дё«Ў «б√”бж» »«б ”«жн.
PARTY_HEAL_ALL_MEMBER	«” —ћ«Џ «бж÷Џ «б√жбн ббћгнЏ
PARTY_INCREASE_AREA_150	«— Ё«Џ гѕм «бгћгжЏ… »Џ«гб 1,5.	SNA
PARTY_INCREASE_AREA_200	«— Ё«Џ гѕм «бгћгжЏ… »Џ«гб 2	SNA
PARTY_LEAVE	гџ«ѕ—… «бгћгжЏ…
PARTY_LONGTIME_BONUS_EXP	Џб«ж… ≈÷«Ён… Џбм дё«Ў «бќ»—… б гѕнѕ гѕ… «ббЏ» «бћг«Џн: +%d%%	SA
PARTY_MATCH_CANCEL	 г ≈бџ«Ѕ Џгбн… «б»ЌЋ Џд гћгжЏ… б[%s].
PARTY_MATCH_FAIL_FULL_MEMBER	б« нгяд бгћгжЏ я ≈÷«Ё… Џ÷ж ћѕнѕ.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	б« нгядя «б ”ћнб бе–« «б»—ћ «бгЌ’д.
PARTY_MATCH_FAIL_LEVEL	г” ж«я г« “«б ÷ЏнЁр«.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	«бЏ÷ж %s б«   жЁ— Ёне «б‘—жЎ «бб«“г….
PARTY_MATCH_FAIL_NONE_MAP_INDEX	н—ћм ≈ќ н«— »—ћ гЌ’д √жб«.
PARTY_MATCH_FAIL_NOT_LEADER	нгяд ЁёЎ бё«∆ѕ «бгћгжЏ… «б ”ћнб.
PARTY_MATCH_FAIL_NO_ITEM	бн” бѕня г« няЁн гд %s.
PARTY_MATCH_SEARCHING	»ЌЋ
PARTY_MATCH_START	бёѕ ёг  » ”ћнб гћгжЏ я бе–« «б»—ћ «бгЌ’д: [%s]!
PARTY_MEMBER_OFFLINE	[џн— г ’б]
PARTY_RECALL_MEMBER	«” ѕЏ«Ѕ  √Џ÷«Ѕ «бгћгжЏ….
PARTY_REGEN_BONUS	дё«Ў Ќн«… ≈÷«Ён…- +  ћѕнѕ дё«Ў «б√”бж»:+%d%%	SA
PARTY_REQUEST_DENIED	бёѕ —хЁ÷ Ўб»я.
PARTY_RK_CATEGORY_CZ_CHICKEN	б«∆Ќ… —шх » «бЌ«—” нж
PARTY_RK_CATEGORY_CZ_COW	б«∆Ќ… —шх » «бЌ«—”  ‘«ж
PARTY_RK_CATEGORY_CZ_DOG	б«∆Ќ… —шх » «бЌ«—” “ж
PARTY_RK_CATEGORY_CZ_DRAGON	б«∆Ќ… —шх » «бЌ«—”  ‘д
PARTY_RK_CATEGORY_CZ_HORSE	б«∆Ќ… —шх » «бЌ«—” жж
PARTY_RK_CATEGORY_CZ_MONKEY	б«∆Ќ… —шх » «бЌ«—” ‘нд
PARTY_RK_CATEGORY_CZ_MOUSE	б«∆Ќ… —шх » «бЌ«—”  ”н
PARTY_RK_CATEGORY_CZ_PIG	б«∆Ќ… —шх » «бЌ«—” е«н
PARTY_RK_CATEGORY_CZ_RABBIT	б«∆Ќ… —шх » «бЌ«—” г«ж
PARTY_RK_CATEGORY_CZ_SHEEP	б«∆Ќ… —шх » «бЌ«—” жн
PARTY_RK_CATEGORY_CZ_SNAKE	б«∆Ќ… —шх » «бЌ«—” ”н
PARTY_RK_CATEGORY_CZ_TIGER	б«∆Ќ… —шх » «бЌ«—” ннд
PARTY_SET_ATTACKER	жўшцЁех яге«ћг.
PARTY_SET_BERSERKER	 Џннде яе«∆ћ.
PARTY_SET_BUFFER	жўшцЁе ягх ’ѕшцн.
PARTY_SET_DEFENDER	жўЁе ягѕ«ЁЏ.
PARTY_SET_NORMAL	≈бџ«Ѕ «б Џѕнб.
PARTY_SET_SKILL_MASTER	 Џнде »’Ё е ”нѕ «бге«—« .
PARTY_SET_TANKER	 Џннд ягЌ«—» Ён «бё «б Џд ё—».
PARTY_SKILL_ATTACKER	ёнг… «бећжг «б√”«”н… ге«ћг +%.0f
PARTY_SKILL_BERSERKER	”—Џ… ећжг «бе«∆ћ +%.0f
PARTY_SKILL_BUFFER	гѕ… ге«—… «бг ’ѕн +%.0f
PARTY_SKILL_DEFENDER	ѕЁ«Џ гхѕ«ЁЏ +%.0f
PARTY_SKILL_HP_REGEN	 ћѕнѕ дё«Ў «бЌн«… +%.0f%%
PARTY_SKILL_PARTY_AREA	гѕм «бгћгжЏ… +%d%%
PARTY_SKILL_SKILL_MASTER	√ё’м Џѕѕ гд дё«Ў √”бж» ”нѕ «бге«—… +%.0f
PARTY_SKILL_SP_REGEN	 ћѕнѕ дё«Ў «б√”бж» +%.0f%%
PARTY_SKILL_TANKER	дё«Ў «бЌн«… «бё’жм ббгё« б Џд ё—» +%.0f.
PARTY_SKILL_WARP	»≈гя«де дѕ«Ѕ √Џ÷«Ѕ «бгћгжЏ….
PASSWORD_TITLE	ябг… ”— «бг” жѕЏ
PET_ATTR_CHANGE_DIALOG_TEXT	еб  жѕ  џнн— ”г«  —Ёнёя «б¬дњ\n ”н г «” еб«я »дѕ "”Ќ— «б—Ёнё".\n нгяд ббЏгбн… √д  Ё‘б.
PET_ATTR_CHANGE_USE	б« нгяд  дЁн– е–« «б√г— «Ћд«Ѕ Џгбн…  Ќжнб ”г«  «б—Ёнё.
PET_ATTR_DETERMINE_TYPE1	джЏ «б—Ёнё 1: √ќ—ё. бн” ёжн« ћѕ«.\nбяд гЏ г—ж— «бжё  нгядя “н«ѕ… ге«—« е.
PET_ATTR_DETERMINE_TYPE2	джЏ «б—Ёнё 2: Ё÷жбн. бн” ёжн« ћѕ«.\n—Ёнё жЁн  “ѕ«ѕ ге«—« е гЏ г—ж— «бжё .
